outcome	description	group	predictor	adjustment	beta	SE	lower	upper	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	bonferroni	fdr
727	Other disorders of synovium, tendon, and bursa	musculoskeletal	case_status	NA	1.55292762926157	0.357935166933647	2.21627307338867	9.15077728034093	4.72528383131699	1.43411254559348e-05	logistic	4128	57	4071	NA	NA	0		TRUE	TRUE
745	Pain in joint	musculoskeletal	case_status	NA	0.698020334223515	0.184908751214956	1.3833864853899	2.86108236698589	2.00977009357609	0.000160043080583128	logistic	3746	493	3253	NA	NA	0		TRUE	TRUE
741	Symptoms and disorders of the joints	musculoskeletal	case_status	NA	1.10065106975329	0.346779539307986	1.43492303713295	5.66780885352404	3.00612258243739	0.00150394308615605	logistic	4265	83	4182	NA	NA	0		FALSE	FALSE
327.32	Obstructive sleep apnea	neurological	case_status	NA	1.23239739340455	0.390487317486207	1.48024623574354	6.98105780817106	3.42944140902705	0.00159921591093834	logistic	4238	59	4179	NA	NA	0		FALSE	FALSE
840.3	Joint/ligament sprain	injuries & poisonings	case_status	NA	1.13475292308821	0.388809891586799	1.34597169314251	6.30512582694713	3.11040493871018	0.00351687221919977	logistic	3679	64	3615	NA	NA	0		FALSE	FALSE
316	Substance addiction and disorders	mental disorders	case_status	NA	-2.02080310350274	0.71442638842802	0.021844940579914	0.41796350874664	0.132548971779753	0.00467568724766731	logistic	3908	256	3652	NA	NA	0		FALSE	FALSE
276	Disorders of fluid, electrolyte, and acid-base balance	endocrine/metabolic	case_status	NA	-1.26323947490925	0.457516730730496	0.0998836206676011	0.623836533388409	0.282736623152863	0.00576108788093145	logistic	4004	312	3692	NA	NA	0		FALSE	FALSE
819	Skull and face fracture and other intercranial injury	injuries & poisonings	case_status	NA	1.02123305180471	0.384112846332416	1.21034476945527	5.5653232925811	2.77661636584548	0.00784474880891029	logistic	4148	75	4073	NA	NA	0		FALSE	FALSE
761	Cervicalgia	symptoms	case_status	NA	0.738801273938201	0.29282652107554	1.13062507573684	3.59355751411789	2.09342456723892	0.0116358444787926	logistic	4229	144	4085	NA	NA	0		FALSE	FALSE
276.5	Hypovolemia	endocrine/metabolic	case_status	NA	-1.46760854004075	0.586121814388734	0.0566471845122851	0.612409553071557	0.230476000783792	0.0122822008596122	logistic	3919	227	3692	NA	NA	0		FALSE	FALSE
340	Migraine	neurological	case_status	NA	0.761078260379148	0.318303207364747	1.09226198088515	3.84474250959768	2.1405830825005	0.0168003544020784	logistic	4199	125	4074	NA	NA	0		FALSE	FALSE
706	Diseases of sebaceous glands	dermatologic	case_status	NA	0.742154621053666	0.31292853098893	1.08136999582678	3.72703932385522	2.10045632985405	0.0177092136622407	logistic	4297	126	4171	NA	NA	0		FALSE	FALSE
292	Neurological disorders	mental disorders	case_status	NA	0.836292014432315	0.359982457019329	1.06350398708481	4.43414796292499	2.30779382584449	0.020171279309175	logistic	4202	91	4111	NA	NA	0		FALSE	FALSE
327.3	Sleep apnea	neurological	case_status	NA	0.884638849829425	0.382595081648689	1.05823060409991	4.8363510704256	2.4221094882545	0.0207663040765908	logistic	4259	80	4179	NA	NA	0		FALSE	FALSE
386.9	Dizziness and giddiness (Light-headedness and vertigo)	sense organs	case_status	NA	0.829065135376588	0.361128662009878	1.05385940946003	4.41319031482216	2.29117579953951	0.0216895446008829	logistic	4264	88	4176	NA	NA	0		FALSE	FALSE
789	Nausea and vomiting	symptoms	case_status	NA	-0.816886844218645	0.367035993640093	0.19770384958499	0.849749192557818	0.441804923348321	0.0260388790005256	logistic	3942	333	3609	NA	NA	0		FALSE	FALSE
655	Known or suspected fetal abnormality affecting management of mother	pregnancy complications	case_status	NA	-1.01433062143015	0.460426307180048	0.12751470769791	0.806823220429447	0.362645095461205	0.0275929933634686	logistic	2476	207	2269	NA	NA	0		FALSE	FALSE
367	Disorders of refraction and accommodation; blindness and low vision	sense organs	case_status	NA	0.750605215549568	0.341494993122106	1.0195723819377	3.94382427925217	2.11828164573298	0.0279492685669383	logistic	4380	104	4276	NA	NA	0		FALSE	FALSE
591	Urinary tract infection	genitourinary	case_status	NA	-0.809896016421819	0.368950432699073	0.19852704308725	0.859499026185199	0.444904326561566	0.0281539135951812	logistic	3933	295	3638	NA	NA	0		FALSE	FALSE
783	Fever of unknown origin	symptoms	case_status	NA	-0.91698868241348	0.419342785391897	0.156271928142552	0.832679500162011	0.399720917188599	0.0287623737582974	logistic	4092	284	3808	NA	NA	0		FALSE	FALSE
614	Inflammatory diseases of female pelvic organs	genitourinary	case_status	NA	-1.08916089142469	0.513190402622367	0.10255496941011	0.809306579341764	0.336498734248431	0.0338097899477587	logistic	2399	186	2213	NA	NA	0		FALSE	FALSE
427.9	Palpitations	circulatory system	case_status	NA	0.665724044336413	0.314377017054349	0.999368668685964	3.46400954363247	1.9458989284991	0.0342091541946088	logistic	3965	127	3838	NA	NA	0		FALSE	FALSE
276.1	Electrolyte imbalance	endocrine/metabolic	case_status	NA	-2.10315610386996	1.00610640369548	0.00691615104404802	0.549825182614279	0.122070552298477	0.0365826610329904	logistic	3838	146	3692	NA	NA	0		FALSE	FALSE
300.11	Generalized anxiety disorder	mental disorders	case_status	NA	0.850109137307128	0.411625475933189	0.955187289076914	4.91315317368358	2.33990220861726	0.0388994383952246	logistic	3039	62	2977	NA	NA	0		FALSE	FALSE
401	Hypertension	circulatory system	case_status	NA	-0.863924662747911	0.421578777669936	0.16423594075016	0.882865711612335	0.42150456857572	0.0404366660747805	logistic	4312	284	4028	NA	NA	0		FALSE	FALSE
381	Otitis media and Eustachian tube disorders	sense organs	case_status	NA	0.762040718809138	0.380125617578175	0.93969777329553	4.25263373597173	2.14264429649062	0.044994314352735	logistic	4156	83	4073	NA	NA	0		FALSE	FALSE
401.1	Essential hypertension	circulatory system	case_status	NA	-0.84098377096399	0.42169615528987	0.168017877122679	0.90361622635537	0.431286027988661	0.0461205409839925	logistic	4306	278	4028	NA	NA	0		FALSE	FALSE
706.1	Acne	dermatologic	case_status	NA	0.678227817725618	0.340637347618094	0.949675442718102	3.66086540435575	1.9703827588812	0.0464748010728106	logistic	4281	110	4171	NA	NA	0		FALSE	FALSE
345.3	Convulsions	neurological	case_status	NA	-1.01280154156979	0.510356559573212	0.111124088663002	0.867126548923052	0.363200032936868	0.0472003574139214	logistic	4101	219	3882	NA	NA	0		FALSE	FALSE
636	Early or threatened labor; hemorrhage in early pregnancy	pregnancy complications	case_status	NA	-0.914949520201134	0.461348791099888	0.140663831368444	0.893074998702358	0.400536844599855	0.0473444652160231	logistic	2385	189	2196	NA	NA	0		FALSE	FALSE
